"location","description","secs","category","CDNumber","CDName","tracknum"
"07076051.wav","Two-stroke petrol engine driving small elevator, start, run, stop.","194","Engines: Petrol","EC117D","Diesel & Petrol Engines","4"
"07076050.wav","Single-cylinder Petter engine, start, run stop. (1 1/2 h.p.)","194","Engines: Diesel","EC117D","Diesel & Petrol Engines","1"
"07076049.wav","Start, constant run with engine driving small compressor, stop. (2 1/4 h.p. 4-stroke)","200","Engines: Petrol","EC117D","Diesel & Petrol Engines","3"
"07076048.wav","Two false starts, constant run, stop. (2 1/4 h.p. 4-stroke)","195","Engines: Petrol","EC117D","Diesel & Petrol Engines","2"
"07076047.wav","An 8 mm projector running at 24 f.p.s.","117","Cine Projectors","EC6C1","Cameras","4"
"07076046.wav","Automatic threading on 8 mm projector running at 16 f.p.s.","126","Cine Projectors","EC6C1","Cameras","3"
"07076045.wav","Film running out on 16 mm projector. (24 f.p.s.)","17","Cine Projectors","EC6C1","Cameras","2"
"07076044.wav","A 16 mm projector running at 24 f.p.s.","124","Cine Projectors","EC6C1","Cameras","1"
"07076043.wav","Multiple shutter click with wind-on of 6 by 6 cm SLR Hasselblad camera.","11","Photography: Cameras","EC6C1","Cameras","10"
"07076042.wav","Single shutter click with wind-on of 6 by 6 cm SLR Hasselblad camera.","6","Photography: Cameras","EC6C1","Cameras","9"
"07076041.wav","Three single shutter clicks of 35 mm SLR camera.","8","Photography: Cameras","EC6C1","Cameras","8"
"07076040.wav","Short burst of shutter clicks with motor drive of 35 mm SLR camera.","6","Photography: Cameras","EC6C1","Cameras","7"
"07076039.wav","Long burst of shutter clicks with motor drive of 35 mm SLR camera.","8","Photography: Cameras","EC6C1","Cameras","6"
"07076038.wav","Shutter click and manual wind-on of 35 mm SLR camera.","11","Photography: Cameras","EC6C1","Cameras","5"
"07076037.wav","Triple-expansion, constant run, slow down and speed up at 3'45"". (Marine-type steam engine, 1911)","423","Engines: Steam","EC117F","Marine-Type Steam Engine, 1911","2"
"07076036.wav","Triple-expansion, start by donkey engine. (Marine-type steam engine, 1911)","398","Engines: Steam","EC117F","Marine-Type Steam Engine, 1911","1"
"07076035.wav","A milling machine switched on, operates with occasional pauses.","156","Industry: Light","EC57T","Machinery","4"
"07076034.wav","Machining and tapping machinery operating.","207","Industry: Light","EC57T","Machinery","3"
"07076033.wav","Shaft orientation machine operating.","159","Industry: Light","EC57T","Machinery","2"
"07076032.wav","Drilling and reaming machine operating, with occasional pauses.","173","Industry: Light","EC57T","Machinery","1"
"07076031.wav","General atmosphere in a busy machine shop with some indistinct speech.","393","Industry: Light","EC57U","Machine Shop","3"
"07076030.wav","A drilling and milling machine operates with occasional pauses.","289","Industry: Light","EC57U","Machine Shop","2"
"07076029.wav","Milling machine operating. (Close perspective)","83","Industry: Light","EC57U","Machine Shop","1"
"07076028.wav","Tropical forest, West Africa at night.","502","Africa: Forest","EC200A","Tropical Forest: West Africa ","2"
"07076027.wav","Tropical Forest, West Africa at dawn.","510","Africa: Forest","EC200A","Tropical Forest: West Africa ","1"
"07076026.wav","Background static to echoes from the moon.","216","Radio: Interference","EC66B","Morse & Static","8"
"07076025.wav","Keying an Aldis lamp.","63","Morse Code: Aldis lamps","EC66B","Morse & Static","1"
"07076024.wav","Keyed morse. (No tone, sound of key being operated)","67","Morse Code","EC66B","Morse & Static","7"
"07076023.wav","Low-pitched buzzer","63","Morse Code","EC66B","Morse & Static","6"
"07076022.wav","Medium-pitched buzzer","64","Morse Code","EC66B","Morse & Static","5"
"07076021.wav","Low-pitched oscillator","64","Morse Code","EC66B","Morse & Static","4"
"07076020.wav","Medium-pitched oscillator","63","Morse Code","EC66B","Morse & Static","3"
"07076019.wav","High-pitched oscillator","65","Morse Code","EC66B","Morse & Static","2"
"07076018.wav","Electronic monotony","191","Electronic Sounds: Monotony","EC66D","Electronic Monotony","3"
"07076017.wav","Electronic monotony","195","Electronic Sounds: Monotony","EC66D","Electronic Monotony","2"
"07076016.wav","Electronic monotony.","204","Electronic Sounds: Monotony","EC66D","Electronic Monotony","1"
"07076015.wav","Sound of radar echoes from the Moon.","200","Radar","EC66D","Electronic Monotony","4"
"07076014.wav","Creed tape-printing telegraph operating. (c.1928-1952)","119","","EC45N","Post Office Telegraph Equipment","6"
"07076013.wav","Creed transmitter, perforator and receiver operating together.","83","Telegraph Equipment: Morse Code","EC45N","Post Office Telegraph Equipment","5"
"07076012.wav","Creed receiver operating. (c.1925)","154","Telegraph Equipment: Morse Code","EC45N","Post Office Telegraph Equipment","4"
"07076011.wav","Creed morse printer operating. (c.1925-1930)","71","Telegraph Equipment: Morse Code","EC45N","Post Office Telegraph Equipment","3"
"07076010.wav","Creed transmitter operating. (c.1925)","148","Telegraph Equipment: Morse Code","EC45N","Post Office Telegraph Equipment","2"
"07076009.wav","Creed keyboard perforator operating. (c.1925)","131","Telegraph Equipment: Morse Code","EC45N","Post Office Telegraph Equipment","1"
"07076008.wav","Hughes printer, with piano type keyboard, operating. (c.1867-1939)","100","Telegraph Equipment: Morse Code","EC45M","Post Office Telegraph Equipment","8"
"07076007.wav","Wheatstone reciever operating. (c.1870)","86","Telegraph Equipment: Morse Code","EC45M","Post Office Telegraph Equipment","7"
"07076006.wav","Wheatstone transmitter operating. (c.1870)","74","Telegraph Equipment: Morse Code","EC45M","Post Office Telegraph Equipment","6"
"07076005.wav","Morse perforator and punches operating, used with Wheatstone transmitter and receiver. (c.1870)","88","Telegraph Equipment: Morse Code","EC45M","Post Office Telegraph Equipment","5"
"07076004.wav","Burgett ABC receiver operating. (c.1850)","88","Telegraph Equipment: Morse Code","EC45M","Post Office Telegraph Equipment","4"
"07076003.wav","Morse key, transmitting end. (c.1839)","80","Telegraph Equipment: Morse Code","EC45M","Post Office Telegraph Equipment","3"
"07076002.wav","Sounder used with morse key, receiving end. (c.1839)","134","Telegraph Equipment: Morse Code","EC45M","Post Office Telegraph Equipment","2"
"07076001.wav","Cooke's portable 2-needle telegraph operating. (c.1838)","40","Telegraph Equipment: Morse Code","EC45M","Post Office Telegraph Equipment","1"
"07075071.wav","Tipping coal from hopper in a coal mine.","31","Coal Mining","EC165B","Coal Mining","9"
"07075070.wav","A pit locomotive operating with constant run in a coal mine.","126","Coal Mining","EC165B","Coal Mining","8"
"07075069.wav","Lift, gates close, cage descends and gates open.","55","Coal Mining","EC165B","Coal Mining","7"
"07075068.wav","Lamp room atmosphere in a coal mine.","57","Coal Mining","EC165B","Coal Mining","6"
"07075067.wav","An agitator belt operating in constant run in a coal mine.","63","Coal Mining","EC165B","Coal Mining","5"
"07075066.wav","Coal falling down a shute in a coal mine.","118","Coal Mining","EC165B","Coal Mining","4"
"07075065.wav","Pneumatic coal drill operating in a coal mine. (Distant perspective)","52","Coal Mining","EC165B","Coal Mining","3"
"07075064.wav","Pneumatic coal drill operating in a coal mine. (Close perspective)","65","Coal Mining","EC165B","Coal Mining","2"
"07075063.wav","Miners chatting in pit baths.","91","Coal Mining","EC165B","Coal Mining","1"
"07075062.wav","Tubs crashing together in a coal mine with occasional pit cage bells.","91","Coal Mining","EC165A","Coal Mining","6"
"07075061.wav","Tubs being coupled in a coal mine. (Steam locomotive passes at end)","124","Coal Mining","EC165A","Coal Mining","5"
"07075060.wav","Wet shovelling in a coal mine.","131","Coal Mining","EC165A","Coal Mining","4"
"07075059.wav","Coal falling into a hopper.","55","Coal Mining","EC165A","Coal Mining","3"
"07075058.wav","Shovelling and distant drilling in a coal mine.","120","Coal Mining","EC165A","Coal Mining","2"
"07075057.wav","Miners assembling at pit bottom with occasional pit cage gates and bells.","145","Coal Mining","EC165A","Coal Mining","1"
"07075056.wav","Bell, end of round, quiet speech at a wrestling match.","14","Wrestling","EC96H","Indoor Wrestling","6"
"07075055.wav","Applause for throw at a wrestling match.","12","Wrestling","EC96H","Indoor Wrestling","5"
"07075054.wav","Shouts of encouragement at a wrestling match.","26","Wrestling","EC96H","Indoor Wrestling","4"
"07075053.wav","Announcement, bell, wrestling bout begins.","156","Wrestling","EC96H","Indoor Wrestling","3"
"07075052.wav","Public address announcement and crowd reaction at a wrestling match.","37","Wrestling","EC96H","Indoor Wrestling","2"
"07075051.wav","General atmosphere with spectators arriving before a wrestling match.","390","Wrestling","EC96H","Indoor Wrestling","1"
"07075050.wav","Corliss steam engine, stopping. (Built in 1889, 91 h.p.)","80","Engines: Steam","EC4E3","19Th Century Static Steam Engine","5"
"07075049.wav","Corliss steam engine, start up. (Built in 1889, 91 h.p.)","98","Engines: Steam","EC4E3","19Th Century Static Steam Engine","4"
"07075048.wav","Corliss steam engine, running. (Built in 1889, 91 h.p.)","184","Engines: Steam","EC4E3","19Th Century Static Steam Engine","3"
"07075047.wav","Gear wheels running, driven by steam engine. (No engine noise)","185","Engines: Steam","EC4E3","19Th Century Static Steam Engine","2"
"07075046.wav","Single cylinder horizontal steam engine, start, run, stop. (Built in 1851 for the Great Exhibition)","185","Engines: Steam","EC4E3","19Th Century Static Steam Engine","1"
"07075045.wav","Large gas/diesel generators, constant run. (Sewage machinery suitable for general use)","184","Engines: Diesel: Gas","EC4E2","Static Engines","4"
"07075044.wav","One with start, run, stop. (Sewage machinery suitable for general use)","185","Engines","EC4E2","Static Engines","3"
"07075043.wav","One with start, run, stop. (Sewage machinery suitable for general use)","184","Engines","EC4E2","Static Engines","2"
"07075042.wav","Several operating, continuous run. (Sewage machinery suitable for general use)","184","Engines","EC4E2","Static Engines","1"
"07075041.wav","Operating, constant run. (Refuse machinery suitable for general use)","185","Engines","EC4E1","Static Engines (Constant Runs)","2"
"07075040.wav","Motor powering a conveyor belt, constant run. (Refuse machinery suitable for general purpose use)","183","Engines: Conveyor","EC4E1","Static Engines (Constant Runs)","3"
"07075039.wav","One operating, constant run. (Refuse machinery suitable for general use)","185","Pumps: Diesel","EC4E1","Static Engines (Constant Runs)","4"
"07075038.wav","Dust filtration plant operating, constant run. (Refuse machinery suitable for general use)","184","Engines: Filtration plants","EC4E1","Static Engines (Constant Runs)","1"
"07075037.wav","Heavy line noise on transatlantic circuit. (Static)","396","Radio: Interference","EC66E","Static","2"
"07075036.wav","Static. (Continuous background)","395","Radio: Interference","EC66E","Static","1"
"07075035.wav","Tag match: PA annct with crowd reaction, bell; bout begins.","332","Wrestling","EC96J","Indoor Wrestling","4"
"07075034.wav","Laughter and applause after throw at a wrestling match.","33","Wrestling","EC96J","Indoor Wrestling","3"
"07075033.wav","Animated crowd reaction at a wrestling match.","302","Wrestling","EC96J","Indoor Wrestling","2"
"07075032.wav","Good throw and applause, bell into PA and chatter","53","Wrestling","EC96J","Indoor Wrestling","1"
"07075031.wav","Tuning a communications receiver on the medium-wave band.","216","Radio: Receivers","EC66A","Domestic Radio Effects","4"
"07075030.wav","VHF receiver with aerial disconnected. (Unintelligible speech and heavy distortion)","58","Radio: Receivers","EC66A","Domestic Radio Effects","3"
"07075029.wav","Tuning VHF receiver.","50","Radio: Receivers","EC66A","Domestic Radio Effects","2"
"07075028.wav","Severe mains hum and static.","62","Radio: Interference","EC66A","Domestic Radio Effects","6"
"07075027.wav","Radio interference from electric fence.","64","Radio: Interference","EC66A","Domestic Radio Effects","5"
"07075026.wav","Tuning small medium-wave receiver.","185","Radio: Receivers","EC66A","Domestic Radio Effects","1"
"07075025.wav","An electric centrifugal pump operating with start and stop. (Sewage pump)","143","Pumps: Electric","EC117A","Sewage Pumps (All With Start & Stop)","1"
"07075024.wav","Ingersoil Rand compressor pump operating with start and stop. (Sewage pump, 1896, with belt-drive)","140","Pumps: Engines: Compressors","EC117A","Sewage Pumps (All With Start & Stop)","6"
"07075023.wav","Single cylinder compressor pump operating with start and stop. (Sewage pump with belt drive)","154","Pumps: Engines: Compressors","EC117A","Sewage Pumps (All With Start & Stop)","5"
"07075022.wav","Single five inch pump operating with start and stop. (Sewage pump)","129","Pumps: Engines","EC117A","Sewage Pumps (All With Start & Stop)","2"
"07075021.wav","Three fourteen inch diesel pumps operating with start and stop. (Sewage pumps)","126","Pumps: Engines","EC117A","Sewage Pumps (All With Start & Stop)","4"
"07075020.wav","Single 14 inch diesel pump operating with start and stop. (Sewage pump)","136","Pumps: Engines","EC117A","Sewage Pumps (All With Start & Stop)","3"
"07075019.wav","Ingersoil Rand air compressor, slow down and stop. (1900)","12","Pumps: Engines: Compressors","EC117E","Static Diesel Engines","7"
"07075018.wav","Ingersoil Rand air compressor, start and run. (1900)","148","Pumps: Engines: Compressors","EC117E","Static Diesel Engines","6"
"07075017.wav","Ruston Hornsey YEX 6 pumping engines, slow down and stop.","19","Pumps: Diesel","EC117E","Static Diesel Engines","5"
"07075016.wav","Ruston Hornsey YEX 6 pumping engines, start and run","135","Pumps: Diesel","EC117E","Static Diesel Engines","4"
"07075015.wav","Ruston Hornsey YEX 6 pumping engine, slow down and stop.","18","Pumps: Diesel","EC117E","Static Diesel Engines","3"
"07075014.wav","Ruston Hornsey YEX 6 pumping engine, start and run.","120","Pumps: Diesel","EC117E","Static Diesel Engines","2"
"07075013.wav","Worthington Simpson pumping engine, constant run. (1929)","193","Pumps: Diesel","EC117E","Static Diesel Engines","1"
"07075012.wav","Lathe shop atmosphere","247","Industry: Lathes: Metal","EC57N","Metal Lathes","5"
"07075011.wav","Lathe switched on, Grinding Tool, slows down, stops.","129","Industry: Lathes: Metal","EC57N","Metal Lathes","4"
"07075010.wav","Lathe switched on, turns steel, slows down, stops.","161","Industry: Lathes: Metal","EC57N","Metal Lathes","3"
"07075009.wav","Lathe switched on, turns aluminium with occasional pauses.","148","Industry: Lathes: Metal","EC57N","Metal Lathes","2"
"07075008.wav","Lathe switched on, turns brass, slows down, stops.","93","Industry: Lathes: Metal","EC57N","Metal Lathes","1"
"07075007.wav","Applause and whistles.","25","Sports: Boxing: Professional","EC96D","Professional Boxing","7"
"07075006.wav","Announcement for retirement, applause.","43","Sports: Boxing: Professional","EC96D","Professional Boxing","6"
"07075005.wav","Medium applause into atmosphere at a boxing match.","32","Sports: Boxing: Professional","EC96D","Professional Boxing","5"
"07075004.wav","Seconds out announcement, round five, bell, atmosphere into next round.","179","Sports: Boxing: Professional","EC96D","Professional Boxing","4"
"07075003.wav","End of round, bell and applause.","19","Sports: Boxing: Professional","EC96D","Professional Boxing","3"
"07075002.wav","Rowdy crowd at boxing match with occasional booing.","184","Sports: Boxing: Professional","EC96D","Professional Boxing","2"
"07075001.wav","Last round of a big fight.","202","Sports: Boxing: Professional","EC96D","Professional Boxing","1"
"07074235.wav","Electronic - bleeps and printer on cash register (background voices - 1982 (2R1,reprocessed)","21","Cash Registers","ECD085","Interiors - Shops and Cash Registers","47"
"07074234.wav","Electronic - light-pen scanner on cash register - 1982 (2R1,reprocessed)","8","Cash Registers","ECD085","Interiors - Shops and Cash Registers","46"
"07074233.wav","Electronic - bleeps on cash register - 1982 (2R1,reprocessed)","24","Cash Registers","ECD085","Interiors - Shops and Cash Registers","45"
"07074232.wav","Electronic - printing and bleeps on cash register - 1982 (2R1,reprocessed)","33","Cash Registers","ECD085","Interiors - Shops and Cash Registers","44"
"07074231.wav","Electronic NCR - addition, empty drawer opened and closed - 1982 (2R1,reprocessed)","8","Cash Registers","ECD085","Interiors - Shops and Cash Registers","43"
"07074230.wav","Electronic NCR - addition, drawer open, money removed - 1982 (2R1,reprocessed)","14","Cash Registers","ECD085","Interiors - Shops and Cash Registers","42"
"07074229.wav","Electronic NCR - bleeps without printer - 1982 (2R1,reprocessed)","7","Cash Registers","ECD085","Interiors - Shops and Cash Registers","41"
"07074228.wav","Electronic NCR - change calculation - 1982 (2R1,reprocessed)","5","Cash Registers","ECD085","Interiors - Shops and Cash Registers","40"
"07074227.wav","Electronic NCR - entry error - 1982 (2R1,reprocessed)","4","Cash Registers","ECD085","Interiors - Shops and Cash Registers","39"
"07074226.wav","Electronic NCR - drawer closed - 1982 (2R1,reprocessed)","2","Cash Registers","ECD085","Interiors - Shops and Cash Registers","38"
"07074225.wav","Electronic NCR - adding in mixed amounts - 1982 (2R1,reprocessed)","21","Cash Registers","ECD085","Interiors - Shops and Cash Registers","37"
"07074224.wav","Electronic NCR - adding in amounts of less than one pound - 1982 (2R1,reprocessed)","15","Cash Registers","ECD085","Interiors - Shops and Cash Registers","36"
"07074223.wav","Monroe-Sweda - keyboard operated, ticket produced, drawer opens, change given, drawer opens (twice) - 1969 (23Z,reprocessed)","53","Cash Registers","ECD085","Interiors - Shops and Cash Registers","35"
"07074222.wav","Class Fifty One Machine - keyboard operated, drawer opens, bell, change given, drawer closes, in betting office - 1969 (23Z,reprocessed)","12","Cash Registers","ECD085","Interiors - Shops and Cash Registers","34"
"07074221.wav","Class Three Machine (supermarket) - resetting machine - 1969 (23Z,reprocessed)","8","Cash Registers","ECD085","Interiors - Shops and Cash Registers","33"
"07074220.wav","Class Three Machine (supermarket) - keyboard operated, ticket produced, drawer opens, bell, change given, drawer closes (three times) - 1969 (23Z,reprocessed)","56","Cash Registers","ECD085","Interiors - Shops and Cash Registers","32"
"07074219.wav","Itemizing Machine - resetting machine - 1969 (23Z,reprocessed)","10","Cash Registers","ECD085","Interiors - Shops and Cash Registers","31"
"07074218.wav","Itemizing Machine - keyboard operated, drawer opens, bell, change given, drawer closes (three times) - 1969 (23Z,reprocessed)","51","Cash Registers","ECD085","Interiors - Shops and Cash Registers","30"
"07074217.wav","Type Ninety-Six Five - keyboard operated, ticket produced, drawer opens, bell, change given, coins put in drawer and closed - 1969 (23Z,reprocessed)","24","Cash Registers","ECD085","Interiors - Shops and Cash Registers","29"
"07074216.wav","Type Ninety-Six One - keyboard operated, ticket produced, drawer closed (totting up) - 1969 (23Z,reprocessed)","15","Cash Registers","ECD085","Interiors - Shops and Cash Registers","28"
"07074215.wav","Type Ninety-Six One - keyboard operated, ticket produced, drawer opens, bell, change given, coins put in drawer and closed - 1969 (23Z,reprocessed)","21","Cash Registers","ECD085","Interiors - Shops and Cash Registers","27"
"07074214.wav","Class One Hundred - opened, keyboard operated, closed - 1969 (23Z,reprocessed)","14","Cash Registers","ECD085","Interiors - Shops and Cash Registers","26"
"07074213.wav","Class One Hundred - keyboard operated, bell, change given, coins put in drawer, drawer closed (three times) - 1969 (23Z,reprocessed)","36","Cash Registers","ECD085","Interiors - Shops and Cash Registers","25"
"07074212.wav","Class One Hundred - opened, bell, change given, coins put in drawer, drawer closed (six times) - 1969 (23Z,reprocessed)","54","Cash Registers","ECD085","Interiors - Shops and Cash Registers","24"
"07074211.wav","Manual - bell, change given and coins put in drawer, drawer closed (three times) - 1966 (9A,reprocessed)","27","Cash Registers","ECD085","Interiors - Shops and Cash Registers","23"
"07074210.wav","Manual - bell, change given and coins put in drawer, drawer closed (twice) - 1966 (9A,reprocessed)","17","Cash Registers","ECD085","Interiors - Shops and Cash Registers","22"
"07074209.wav","Manual - bell, keyboard, change given and coins put in drawer, drawer closed - 1966 (9A,reprocessed)","13","Cash Registers","ECD085","Interiors - Shops and Cash Registers","21"
"07074208.wav","Manual - bell, change given and coins put in drawer, drawer closed - 1966 (9A,reprocessed)","12","Cash Registers","ECD085","Interiors - Shops and Cash Registers","20"
"07074207.wav","Atmosphere in store with distinct speech (pre-decimal coinage) - Sept '1967 (23F,reprocessed)","253","Atmospheres: Villages","ECD085","Interiors - Shops and Cash Registers","19"
"07074206.wav","Checkout, cash registers and sounds of wrapping - 1981 (1C26,reprocessed)","61","Cash Registers","ECD085","Interiors - Shops and Cash Registers","18"
"07074205.wav","General atmosphere, occasional trolley and bell - 1981 (1C26,reprocessed)","269","Shops: Supermarkets","ECD085","Interiors - Shops and Cash Registers","17"
"07074204.wav","Atmosphere in a quiet urban post office with footsteps, voices and distant traffic - Jan '1980 (1C21,reprocessed) (technical note - for use at low level)","304","Post Offices","ECD085","Interiors - Shops and Cash Registers","16"
"07074203.wav","Petrol station shop, with occasional voices and distant traffic - 1985 (4P1,reprocessed)","181","Petrol Stations","ECD085","Interiors - Shops and Cash Registers","15"
"07074202.wav","Thirty budgerigars in shed (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)","119","Birds","ECD085","Interiors - Shops and Cash Registers","14"
"07074201.wav","Agitated birds and cockatiel screeching (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)","15","Birds","ECD085","Interiors - Shops and Cash Registers","13"
"07074200.wav","Agitated birds and cockatiel screeching (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)","10","Birds","ECD085","Interiors - Shops and Cash Registers","12"
"07074199.wav","Birds flapping wings with faint calls (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)","13","Birds","ECD085","Interiors - Shops and Cash Registers","11"
"07074198.wav","A cockatiel calling (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)","9","Birds","ECD085","Interiors - Shops and Cash Registers","10"
"07074197.wav","Atmosphere in a small shop with caged birds (recorded in a pet shop but suitable for an aviary (rec. Petersfield, Hants) - 1986 (1B19,reprocessed)","64","Birds","ECD085","Interiors - Shops and Cash Registers","9"
"07074196.wav","Aquarium, close perspective - 1986 (1B19,reprocessed)","66","Aquaria","ECD085","Interiors - Shops and Cash Registers","8"
"07074195.wav","Atmosphere in a large shop, with aquaria and mixed birds (rec. Stubbington, Hants) - 1986 (1B19,reprocessed)","359","Aquaria","ECD085","Interiors - Shops and Cash Registers","7"
"07074194.wav","Atmosphere with cash conveyor, some distinct speech - April 1967 (23D,reprocessed)","263","Shops: Drapers","ECD085","Interiors - Shops and Cash Registers","6"
"07074193.wav","Atmosphere recorded in a London department store - John Lewis - 1973 (1C3,reprocessed)","325","Shops: Department Stores","ECD085","Interiors - Shops and Cash Registers","5"
"07074192.wav","Atmosphere recorded in a London chain store - British Home Stores - 1973 (1C3,reprocessed)","287","Shops: Chain Stores","ECD085","Interiors - Shops and Cash Registers","4"
"07074191.wav","Crowds and manual cash registers - Woolworths - 1975 (1C26,reprocessed)","306","Cash Registers","ECD085","Interiors - Shops and Cash Registers","3"
"07074190.wav","Quiet atmosphere in a bank, traffic noise increases when door opens - 1981 (1C12,reprocesses)","297","Banks","ECD085","Interiors - Shops and Cash Registers","2"
"07074189.wav","Atmosphere in a large indoor shopping arcade - 1974 (recorded in Holland, no distinct speech) (1C14,reprocessed)","301","Shops: Holland","ECD085","Interiors - Shops and Cash Registers","1"
"07074188.wav","Group in foreground running to stop - 1968 (7G, reprocessed)","21","Footsteps: Comedy","ECD095","Comedy 2","96"
"07074187.wav","Two people run to distance and double splash - 1968 (7G, reprocessed)","14","Footsteps: Comedy","ECD095","Comedy 2","95"
"07074186.wav","Run to distance and splash - 1968 (7G, reprocessed)","10","Footsteps: Comedy","ECD095","Comedy 2","94"
"07074185.wav","Run to distance and return - 1968 (7G, reprocessed)","21","Footsteps: Comedy","ECD095","Comedy 2","93"
"07074184.wav","One pair of feet approach and stop - 1968 (7G, reprocessed)","6","Footsteps: Comedy","ECD095","Comedy 2","92"
"07074183.wav","One pair of feet approach and explosion - 1968 (7G, reprocessed)","11","Footsteps: Comedy","ECD095","Comedy 2","91"
"07074182.wav","Squeaky feet, door open and close with squeak - 1968 (7G, reprocessed)","18","Footsteps: Comedy","ECD095","Comedy 2","90"
"07074181.wav","Strolling through ovens, oven door open and close - 1968 (7G, reprocessed)","33","Footsteps: Comedy","ECD095","Comedy 2","89"
"07074180.wav","One pair of feet overhead and removing boots - 1968 (7G, reprocessed)","39","Footsteps: Comedy","ECD095","Comedy 2","88"
"07074179.wav","One pair of feet approach to door, door open and close, feet depart - 1968 (7G, reprocessed)","6","Footsteps: Comedy","ECD095","Comedy 2","87"
"07074178.wav","Feet overhead on wood - 1968 (7G, reprocessed)","27","Footsteps: Comedy","ECD095","Comedy 2","86"
"07074177.wav","Tap turned on, fizzy liquid gurgles out - 1967 (7B, reprocessed)","44","Fizzy Liquids: Comedy","ECD095","Comedy 2","85"
"07074176.wav","36 people brawling - 1968 (170A, reprocessed)","53","Fights: Comic","ECD095","Comedy 2","84"
"07074175.wav","6 people brawling - 1968 (170A, reprocessed)","116","Fights: Comic","ECD095","Comedy 2","83"
"07074174.wav","3 people brawling - 1968 (170A, reprocessed)","117","Fights: Comic","ECD095","Comedy 2","82"
"07074173.wav","Continuous body falls - continuous heavy movement (170A)","32","Comedy: Fights","ECD095","Comedy 2","81"
"07074172.wav","Two body falls - 1968 (170A, reprocessed)","32","Fights: Comic","ECD095","Comedy 2","80"
"07074171.wav","Punches, 3 backhanders - 1968 (170A, reprocessed)","6","Fights: Comic","ECD095","Comedy 2","79"
"07074170.wav","4 stomach punches - 1968 (170A, reprocessed)","10","Fights: Comic","ECD095","Comedy 2","78"
"07074169.wav","Tum punch - 1967 (7A, reprocessed)","3","Fights: Comic","ECD095","Comedy 2","77"
"07074168.wav","Cod indoor fight - 1967 (7C, reprocessed)","25","Fights: Comic","ECD095","Comedy 2","76"
"07074167.wav","Scuffle with twangs - 1967 (7E, reprocessed)","28","Fights: Comic","ECD095","Comedy 2","75"
"07074166.wav","Saloon bar brawl - 1967 (7E, reprocessed)","116","Fights: Comic","ECD095","Comedy 2","74"
"07074165.wav","Swordfight with shots and groans - 1967 (7E, reprocessed)","32","Fights: Comic","ECD095","Comedy 2","73"
"07074164.wav","Musical explosion - 1967 (7F, reprocessed)","9","Explosions: Comedy","ECD095","Comedy 2","72"
"07074163.wav","Execution being carried out with a block and large axe - 1974 (199A, reprocessed)","11","Executions: Comedy","ECD095","Comedy 2","71"
"07074162.wav","Execution being carried out with a block and axe - 1974 (199A, reprocessed)","8","Executions: Comedy","ECD095","Comedy 2","70"
"07074161.wav","Execution being carried out with a block and sword - 1971 (199A, reprocessed)","8","Executions: Comedy","ECD095","Comedy 2","69"
"07074160.wav","Guillotine being used at an execution - 1971 (199A, reprocessed)","4","Executions: Comedy","ECD095","Comedy 2","68"
"07074159.wav","Masticating apple - 1967 (7C, reprocessed)","29","Eating: Comedy","ECD095","Comedy 2","67"
"07074158.wav","Man drinking bucket of cold cocoa - 1967 (7F, reprocessed)","18","Drinking: Comedy","ECD095","Comedy 2","66"
"07074157.wav","One drawbridge opening sideways - 1972 (7K, reprocessed)","10","Drawbridges: Comedy","ECD095","Comedy 2","65"
"07074156.wav","Breaking down door - 1968 (7H, reprocessed)","36","Cymbals: Comedy","ECD095","Comedy 2","64"
"07074155.wav","Knocking with doors opening and closing - 1968 (7G, reprocessed)","22","Cymbals: Comedy","ECD095","Comedy 2","63"
"07074154.wav","Cymbals clang and drop - 1967 (7B, reprocessed)","6","Cymbals: Comedy","ECD095","Comedy 2","62"
"07074153.wav","Small crowd gasps - 1969 (169C, reprocessed)","8","Crowds: Comedy","ECD095","Comedy 2","61"
"07074152.wav","Busy English market - 1967 (7E, reprocessed)","69","Crowds: Comedy","ECD095","Comedy 2","60"
"07074151.wav","Crowd panics - 1968 (7H, reprocessed)","19","Crowds: Comedy","ECD095","Comedy 2","59"
"07074150.wav","Crowd panic and rush for exits - 1967 (7E, reprocessed)","18","Crowds: Comedy","ECD095","Comedy 2","58"
"07074149.wav","English club chatter - 1967 (7E, reprocessed)","51","Crowds: Comedy","ECD095","Comedy 2","57"
"07074147.wav","Mixed group booing and bleating - 1967 (7E, reprocessed)","56","Crowds: Comedy","ECD095","Comedy 2","55"
"07074146.wav","Small group, half-hearted hurrahs - 1967 (7E, reprocessed)","17","Crowds: Comedy","ECD095","Comedy 2","54"
"07074145.wav","Small group cheering - 1972 (7K, reprocessed)","17","Crowds: Comedy","ECD095","Comedy 2","53"
"07074144.wav","3 furniture crashes - 1968 (170A, reprocessed)","13","Crashes: Comedy","ECD095","Comedy 2","52"
"07074143.wav","Comic metal crash - 1971 (84F, reprocessed)","7","Crashes: Comedy","ECD095","Comedy 2","51"
"07074142.wav","Metal crash - 1972 (7M, reprocessed)","10","Crashes: Comedy","ECD095","Comedy 2","50"
